瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
143,措备,2024-11-04,15.2,9.8,21.7,,1.9,70.1
143,措备,2024-11-05,12.4,8.2,18.5,,2.3,57.6
143,措备,2024-11-06,9.4,4.4,14.7,,3,39.5
143,措备,2024-11-07,9.3,1.6,18.6,,.8,68.9
143,措备,2024-11-08,12.4,5.6,20.4,,1.2,77.8
143,措备,2024-11-09,12.7,7.5,18.8,,1.7,82.4
143,措备,2024-11-10,12.6,9.7,16.8,,.6,88.1
143,措备,2024-11-11,13.9,9.3,20.4,,1.4,81.6
143,措备,2024-11-12,13.8,9.2,21.4,,1.5,69.6
143,措备,2024-11-13,13.1,6.5,20,,1.9,71.5
143,措备,2024-11-14,12.8,7.7,17.9,0,1,80.4
143,措备,2024-11-15,14.6,12.5,17.8,0,.9,84
143,措备,2024-11-16,16.4,11.3,23,,.9,75.5
143,措备,2024-11-17,12.5,6.9,16.5,0,3,50.6
143,措备,2024-11-18,5,1.1,10.6,,2.9,38
143,措备,2024-11-19,6.6,-.5,13.2,,.9,67.5
143,措备,2024-11-20,8.6,2.7,14.3,,1.9,65.9
143,措备,2024-11-21,8.9,3.6,15.4,,1.2,71.8
143,措备,2024-11-22,8.2,3.2,14.5,,2.1,52.8
143,措备,2024-11-23,5.9,-.2,13,,1.9,71.5
143,措备,2024-11-24,8,3.8,15,,1,74.5
143,措备,2024-11-25,9.2,2.4,15.8,.2,1.7,73.5
143,措备,2024-11-26,9.3,5.5,12.7,18.3,3.4,64.5
143,措备,2024-11-27,5.1,2.6,7.6,0,3.7,60.9
143,措备,2024-11-28,6,2.5,9.7,0,3.7,57.8
143,措备,2024-11-29,5.3,2.4,8,0,3.8,57
143,措备,2024-11-30,7.5,4.1,11.9,,3.3,53.9
143,措备,2024-12-01,8.2,2.2,15.1,,.8,69.5
143,措备,2024-12-02,10.8,2.7,18.6,,1.7,63.1
143,措备,2024-12-03,6.4,3.1,10.1,,3.4,36.4
143,措备,2024-12-04,4.6,.9,9.2,,2.2,40.6
143,措备,2024-12-05,5.5,.4,9.8,,2.2,55.4
143,措备,2024-12-06,6.4,3.2,9.8,0,3.9,46.4
143,措备,2024-12-07,3.9,1.6,7.9,,3.6,48.6
143,措备,2024-12-08,2.6,0,6.4,,4.3,42.8
143,措备,2024-12-09,3.7,-3.1,8.7,,2.7,52.1
143,措备,2024-12-10,4.4,-.6,9.9,,2.2,48.3
143,措备,2024-12-11,4.2,-.6,11.5,,1.5,57.3
143,措备,2024-12-12,3.3,-2.4,8.8,,2.3,46.3
143,措备,2024-12-13,3.7,.7,7.8,,3.3,35.6
143,措备,2024-12-14,2,-1,5.6,,4,43.9
143,措备,2024-12-15,2.9,-.4,5.5,0,2.5,61.6
143,措备,2024-12-16,3.9,.1,9.4,0,2.5,42.1
143,措备,2024-12-17,4.1,1.3,8,0,3.4,43.6
143,措备,2024-12-18,.6,-1.4,4.2,,3.4,43.1
143,措备,2024-12-19,.3,-5.2,7.6,,1.6,46.6
143,措备,2024-12-20,1.8,-2.9,8.1,,1.5,56.6
143,措备,2024-12-21,2,-1.2,5.6,1.3,3.4,65
143,措备,2024-12-22,-.6,-3.7,3,,4.5,42
143,措备,2024-12-23,2.6,-1.9,8,,3.2,53.3
143,措备,2024-12-24,2.4,-2,7.8,,2.5,43.6
143,措备,2024-12-25,3.1,-2.8,8.9,,1.6,54.4
143,措备,2024-12-26,3.9,-.3,8.5,,3.7,48.9
143,措备,2024-12-27,.4,-2.5,4,,4,45.6
143,措备,2024-12-28,-.1,-2.3,3,0,4.6,50.3
143,措备,2024-12-29,1.8,-3.7,8.2,,1.7,61.5
143,措备,2024-12-30,4.5,-2.4,11.8,,1.8,62.6
143,措备,2024-12-31,4.2,-.4,7.2,,3.9,32.5
143,措备,2025-01-01,2.8,-3.7,9.9,,1.6,49.1
143,措备,2025-01-02,3.1,-3.7,9.8,,1.6,46.1
143,措备,2025-01-03,1.5,-.8,4.9,,3.6,36
143,措备,2025-01-04,1.6,-2.9,6.8,,2.6,43.4
143,措备,2025-01-05,1.2,-3.9,5.7,,1,58.5
143,措备,2025-01-06,1.8,-2.4,7.6,0,2.8,68.1
143,措备,2025-01-07,.3,-2.2,4.1,,4.1,46.9
143,措备,2025-01-08,.5,-2.4,5.4,.6,2.6,63.6
143,措备,2025-01-09,-6.1,-10.1,-1.6,,5.1,42.4
143,措备,2025-01-10,-5.3,-10.7,-.3,,3.6,41.3
143,措备,2025-01-11,-2,-6.9,2.6,,2.8,52.3
143,措备,2025-01-12,-.1,-4.4,3.9,,3.8,50.1
143,措备,2025-01-13,.9,-3.2,7.2,,2,54.6
143,措备,2025-01-14,4.1,-3.5,11.7,,2,51.1
143,措备,2025-01-15,-.3,-3.1,3.5,,4.2,34.8
143,措备,2025-01-16,.8,-3.3,6.4,,2.8,51.4
143,措备,2025-01-17,2.4,-2.9,9.2,,1.1,52.6
143,措备,2025-01-18,2.4,-5.5,11.2,,1,44.9
143,措备,2025-01-19,2.4,-4.7,11.2,,1.1,47.5
143,措备,2025-01-20,2.4,-3.7,10.6,,1.1,63
143,措备,2025-01-21,2.6,-3.1,10.5,,1.3,61
143,措备,2025-01-22,3.6,-3.5,11.8,,1.3,56.5
143,措备,2025-01-23,4.4,-.9,12.6,,1.3,47.6
143,措备,2025-01-24,3.7,-3.9,11.8,,1.7,55.4
143,措备,2025-01-25,3.5,-1.4,8.7,0,2.2,70.5
143,措备,2025-01-26,4.9,2,7.9,0,2,63.9
143,措备,2025-01-27,1.8,-.6,5,3.7,2.6,74
143,措备,2025-01-28,.6,-1.6,3.3,0,4.9,55.6
143,措备,2025-01-29,-.3,-2.5,2.9,0,5,49.8
143,措备,2025-01-30,.5,-3.1,6.2,,2.5,55.5
143,措备,2025-01-31,2.4,-4.2,7.7,0,.9,65.9
143,措备,2025-02-01,3.7,2.5,5.7,5.9,.8,93
143,措备,2025-02-02,3.7,.5,10,,1.4,74.8
143,措备,2025-02-03,.5,-3.7,3.9,,6.1,41.3
143,措备,2025-02-04,-4.3,-7.1,-.8,,5.5,41.3
143,措备,2025-02-05,-4.2,-6.8,.4,,4.8,40.1
143,措备,2025-02-06,-2.2,-6.6,2.3,,3.6,36.1
143,措备,2025-02-07,-4.8,-8.1,-1,1,4.5,60.1
143,措备,2025-02-08,-5.1,-9.3,-.2,,3.5,48.9
143,措备,2025-02-09,-2.4,-6.9,3.2,,2.9,50
143,措备,2025-02-10,-.4,-4.6,4.6,,3.1,52.9
143,措备,2025-02-11,.9,-6.2,9.6,,1,48.3
143,措备,2025-02-12,1.5,-1.3,4.3,5.7,2.3,80
143,措备,2025-02-13,2,-2.2,7.1,,4.6,36
143,措备,2025-02-14,3.5,-4,12,,1.6,51.1
143,措备,2025-02-15,3.4,-2.5,9.8,,1.2,55.9
143,措备,2025-02-16,6.3,-2.2,13.7,,2.4,51.5
143,措备,2025-02-17,2.8,-.7,7.4,,5.6,27.1
143,措备,2025-02-18,.2,-2.9,4.5,,4.6,32.1
143,措备,2025-02-19,.1,-3.6,5,,4.1,32.8
143,措备,2025-02-20,0,-3.9,5.2,,3.6,32.8
143,措备,2025-02-21,.1,-3.5,4.8,,3.9,34.8
143,措备,2025-02-22,.8,-2.9,6.1,0,3.5,37.1
143,措备,2025-02-23,-1,-3.7,2.7,,4.3,39.8
143,措备,2025-02-24,.9,-4.4,7,,4.1,34.9
143,措备,2025-02-25,4.3,-3.1,10.7,,3,36.8
143,措备,2025-02-26,6.2,-.7,12.7,,2.5,37
143,措备,2025-02-27,7,-3,15.5,0,1.4,28
143,措备,2025-02-28,10.8,5.9,18.6,.1,1.8,53.4
143,措备,2025-03-01,9.4,1.7,15.2,0,1.2,73.5
143,措备,2025-03-02,10.2,5.6,14.2,4,3.5,73.1
143,措备,2025-03-03,3.1,.9,5.9,13.4,4.6,75.6
143,措备,2025-03-04,3,1.5,4.6,3.8,3,85.8
143,措备,2025-03-05,4.9,2.6,8,0,1.7,74.3
143,措备,2025-03-06,5.1,2.2,9.6,0,1.8,70
143,措备,2025-03-07,5.3,-.6,11.6,,2,64.3
143,措备,2025-03-08,7.6,4.2,12.4,0,1.9,55.4
143,措备,2025-03-09,7.7,.4,15.1,,1.6,52.9
143,措备,2025-03-10,7.4,.1,14.5,,1.3,56
143,措备,2025-03-11,10.1,1.3,19.6,,1.2,46.8
143,措备,2025-03-12,12.3,4.2,19.4,,2.2,46.6
143,措备,2025-03-13,12,7.9,18.7,,2.7,31.5
143,措备,2025-03-14,9.6,2.8,16.6,,3.8,46.4
143,措备,2025-03-15,8.1,6.3,9.2,.4,4,65.1
143,措备,2025-03-16,5.4,.7,9.1,2.1,3.5,63.3
143,措备,2025-03-17,4.2,.4,9.7,,3.5,36.4
143,措备,2025-03-18,2.8,.6,5.4,.1,3.5,61.1
143,措备,2025-03-19,4.6,-.6,10.1,,3,43.6
143,措备,2025-03-20,9.2,-1,17.5,,2.7,41.5
143,措备,2025-03-21,15.4,6.1,23.8,,3.7,30.9
143,措备,2025-03-22,17.4,7.1,26,,2.7,26.3
143,措备,2025-03-23,17.5,7.7,27.9,,1.7,33
143,措备,2025-03-24,18.3,11.6,25.4,,2.3,40.1
143,措备,2025-03-25,18.9,10.2,27.3,,3,36.9
143,措备,2025-03-26,17.7,8.6,26.9,,2.2,34.9
143,措备,2025-03-27,19.6,14.1,27.2,1.2,2.5,63.6
143,措备,2025-03-28,9.6,7,14.1,.4,3.2,45.5
143,措备,2025-03-29,6.7,3,12.7,0,4.2,27.5
143,措备,2025-03-30,5.5,1,10.5,,3.7,28.5
143,措备,2025-03-31,7.7,-.1,14.8,,1.6,45.1
143,措备,2025-04-01,10,2,17.3,,2.3,44.4
143,措备,2025-04-02,9.1,2,19.3,8.1,2.1,58
143,措备,2025-04-03,9,3.4,16,,2.1,67.5
143,措备,2025-04-04,11.3,3.5,18.8,,1.7,54.3
143,措备,2025-04-05,11.8,7.9,15.6,0,2,58.9
143,措备,2025-04-06,13.2,6.8,19.2,,3.7,37.9
143,措备,2025-04-07,14.8,3.9,25,,1.5,33
143,措备,2025-04-08,17.2,10.8,23.6,,3.5,35.3
143,措备,2025-04-09,14.6,6,22,0,1.7,53.3
143,措备,2025-04-10,15.8,11,22.6,,2.3,53
143,措备,2025-04-11,16,6.6,24.9,,2,47.8
143,措备,2025-04-12,14.2,8.7,22.4,6.5,2.5,63
143,措备,2025-04-13,8.5,3.3,12.9,14.2,4.7,49.6
143,措备,2025-04-14,6.6,3.4,12.2,6.1,1.9,76.4
143,措备,2025-04-15,10.6,5,17,0,3.7,51.8
143,措备,2025-04-16,16,4.7,26.8,,1.5,48.5
143,措备,2025-04-17,18.4,12.2,24.2,,1.8,67.6
143,措备,2025-04-18,21.7,14.3,29.5,,1.7,65.3
143,措备,2025-04-19,21.4,16.4,26.7,0,2,65.6
143,措备,2025-04-20,15.4,13.2,19.8,0,3.5,71
143,措备,2025-04-21,18,12.2,25.6,,2.6,56.4
143,措备,2025-04-22,15.6,12.7,18.4,6.9,1.5,88.1
143,措备,2025-04-23,14.6,10.2,18.9,0,3.5,73
143,措备,2025-04-24,18.6,10.3,27.1,,2.7,48.9
143,措备,2025-04-25,15.4,11.5,20.6,,4.2,19.9
143,措备,2025-04-26,16.7,6.9,25.7,,2.4,24.1
143,措备,2025-04-27,18.4,9.5,26.8,,1.5,30.1
143,措备,2025-04-28,18.5,12.1,24.4,,3.1,30.3
143,措备,2025-04-29,16.2,7.9,24.1,,2.2,46.6
143,措备,2025-04-30,19.2,10.3,28.8,,2,42
143,措备,2025-05-01,16.5,10.9,24.1,28.1,1.9,67.5
143,措备,2025-05-02,15.9,10.5,21.1,,3.5,40.6
143,措备,2025-05-03,11.8,9.7,15.6,13.9,2.1,74.1
143,措备,2025-05-04,15.5,6.9,22.7,,3,41.6
143,措备,2025-05-05,13,6.6,19.8,2.5,1.5,60.5
143,措备,2025-05-06,11.8,10.2,14.2,3.2,.9,87.3
143,措备,2025-05-07,16.1,9.9,23.7,,1.4,63.4
143,措备,2025-05-08,18.3,11,25.4,,1.6,52.4
143,措备,2025-05-09,14.7,12.2,17.1,10.2,2,84.6
143,措备,2025-05-10,16.4,14.7,19.7,.3,3.6,66.1
143,措备,2025-05-11,16,12.5,21.4,0,1.7,68.5
143,措备,2025-05-12,18.3,9.4,26.6,,1.8,52.5
143,措备,2025-05-13,19.9,11.3,28,,1.4,56.4
143,措备,2025-05-14,21,13.8,29.1,,1.5,52.8
143,措备,2025-05-15,21.5,17.5,26.6,.9,1.3,69.1
143,措备,2025-05-16,20.3,17.5,23.8,18.8,1.2,83.3
143,措备,2025-05-17,22.5,16.9,28.8,.5,2.5,69.3
143,措备,2025-05-18,19.1,14.2,24.4,,2.8,46.4
143,措备,2025-05-19,20.9,12.2,28.5,,2,56.5
143,措备,2025-05-20,25.3,18,33.7,,1.5,63.3
143,措备,2025-05-21,24.4,19.9,29.9,,2,70.8
143,措备,2025-05-22,17.1,15.2,19.9,,4.4,72.4
143,措备,2025-05-23,16.9,13.7,20.5,,3.8,57.8
143,措备,2025-05-24,13.7,11.9,16,1.7,2.9,81.4
143,措备,2025-05-25,17.6,12.2,24.8,.6,2.1,64.5
143,措备,2025-05-26,19.8,12.1,26.9,,1.4,60.3
143,措备,2025-05-27,21.2,13.7,28.4,,1.6,54.6
143,措备,2025-05-28,20,14.6,29.7,22.5,1.9,66.1
143,措备,2025-05-29,18.7,13.8,26,.4,2.2,70.1
143,措备,2025-05-30,18.2,13.2,24.9,,3,63.3
143,措备,2025-05-31,19.7,11.1,27.8,,1.9,53.1
143,措备,2025-06-01,22.2,13.2,31.4,,1.5,54.4
143,措备,2025-06-02,20.3,17.8,24.3,0,1.4,70.5
143,措备,2025-06-03,22.6,17.1,28.8,.1,3.1,49.5
143,措备,2025-06-04,22.9,13.4,29.2,,3.8,30.5
143,措备,2025-06-05,23,15.5,30,,2.2,40.4
143,措备,2025-06-06,23.2,17.4,30.5,,1.4,49
143,措备,2025-06-07,24.8,15.9,33,,1.5,45.3
143,措备,2025-06-08,26,20.5,31.5,,1.5,52.5
143,措备,2025-06-09,25.9,21.4,31.3,,1.4,61.1
143,措备,2025-06-10,26.5,20,33.6,,2.1,50.9
143,措备,2025-06-11,25.6,20.6,31.5,,3.1,39.1
143,措备,2025-06-12,25.3,19.1,31.7,,1.6,44.1
143,措备,2025-06-13,20.5,17.8,24.9,31.1,1.6,74
143,措备,2025-06-14,21.9,18,27.1,32.7,1.6,86.6
143,措备,2025-06-15,26.1,20,32.7,.3,1.5,73.3
143,措备,2025-06-16,25,22.1,29.1,8.5,1.6,79.5
143,措备,2025-06-17,25.2,19.9,29.9,,1.4,70.9
143,措备,2025-06-18,26.9,21.8,32.7,,1.6,61.1
143,措备,2025-06-19,27.5,21,33.9,,1.3,61.6
143,措备,2025-06-20,26.9,24.1,29.5,1.7,1.8,71.4
143,措备,2025-06-21,22.8,18.3,26.9,74.1,1.8,87.9
143,措备,2025-06-22,22.4,18,27.4,8.4,1.6,72.3
143,措备,2025-06-23,24.9,17.8,31.7,,1.4,61
143,措备,2025-06-24,20.7,18.5,24.8,6.7,2.7,84
143,措备,2025-06-25,23.6,19.9,29.1,.1,2.5,76.9
143,措备,2025-06-26,25.4,22.1,30.1,,2.2,64.9
143,措备,2025-06-27,27.1,20.6,33.1,,1.1,65.4
143,措备,2025-06-28,28.5,23.5,34.5,0,1.2,70.6
143,措备,2025-06-29,29.9,24.5,36.6,,1.2,67.6
143,措备,2025-06-30,30.7,25.8,36.4,,1.6,61.4
143,措备,2025-07-01,30.7,25.7,35.7,,1.6,63.9
143,措备,2025-07-02,31.4,26.9,36.4,,1.6,63.4
143,措备,2025-07-03,31.2,27.1,36,,1.6,62.6
143,措备,2025-07-04,30.2,25.7,35.5,,2.1,56.1
143,措备,2025-07-05,30.6,25.5,36.4,,2.1,59
143,措备,2025-07-06,30.6,26.6,34.9,,2.4,59.6
143,措备,2025-07-07,31.5,26.4,37.4,,2,58.1
143,措备,2025-07-08,28.5,25.5,32.3,,3.5,66
143,措备,2025-07-09,28.1,23.7,33.6,,3.2,55.6
143,措备,2025-07-10,26.6,23.6,31.3,,3.7,63.4
143,措备,2025-07-11,26.2,22.9,30.6,,4.2,60
143,措备,2025-07-12,26.2,21.8,31.8,,2.7,60.4
143,措备,2025-07-13,25.3,20.1,32.5,33.3,2.4,71.3
143,措备,2025-07-14,24.2,20.2,31.2,16.7,2.4,75.9
143,措备,2025-07-15,23.3,20,28,.3,1.4,82.1
143,措备,2025-07-16,23,21.1,26.4,7.4,1.2,88.5
143,措备,2025-07-17,22.5,21.3,24.4,102.3,2.3,92.3
143,措备,2025-07-18,24.8,21.3,31.6,14.3,1.4,86.5
143,措备,2025-07-19,21.9,21.1,23.3,68.1,2.1,95.1
143,措备,2025-07-20,26.5,21.5,32.1,,.9,79.9
143,措备,2025-07-21,26.8,23.4,30.8,5.6,.9,82.9
143,措备,2025-07-22,29.5,25,34.2,,.8,69.5
143,措备,2025-07-23,29.9,24.8,35.3,,.8,68.1
143,措备,2025-07-24,29.9,24.9,35.3,,1.2,64.6
143,措备,2025-07-25,29.3,23.4,35.2,,1.7,63.4
143,措备,2025-07-26,29.3,23.8,34.5,,1.4,66.4
143,措备,2025-07-27,29.8,24.4,36,,1.3,63.5
143,措备,2025-07-28,30.4,23.9,36.8,,1.2,61.9
143,措备,2025-07-29,30.1,24.4,35.9,,1.8,60.5
143,措备,2025-07-30,29.2,22.9,35.2,,1.9,63.5
143,措备,2025-07-31,29.9,24.6,35.9,,1.7,62.4
143,措备,2025-08-01,30.4,23.6,37.2,,1.4,59.4
143,措备,2025-08-02,30.9,25.2,37.3,,1.5,63.3
143,措备,2025-08-03,28.9,24.3,33.1,24.5,1.4,75.3
143,措备,2025-08-04,28.2,24.8,33.3,91,1.2,83.1
143,措备,2025-08-05,29.7,25.9,35.1,1,1.1,76
143,措备,2025-08-06,28.5,23.5,32.5,17,1.6,77.1
143,措备,2025-08-07,27.4,23.3,32,.3,1.2,74.3
143,措备,2025-08-08,26.9,22.7,31.2,,1,69.6
143,措备,2025-08-09,24.5,22.5,27.3,1.1,.9,82.5
143,措备,2025-08-10,25.2,21.2,29.5,13.9,1.6,74.4
143,措备,2025-08-11,24.4,20.5,29.9,.4,1.6,76.9
143,措备,2025-08-12,22.8,20.2,24.4,5.9,1.6,90.5
143,措备,2025-08-13,27.5,23.3,32.1,,.9,78.4
143,措备,2025-08-14,29.8,24.1,35,,1.5,66.8
143,措备,2025-08-15,29.5,24.8,34.6,,1.2,69.1
143,措备,2025-08-16,29.7,25.5,34.6,,1.1,68.1
143,措备,2025-08-17,28.8,23.9,34,,1.5,66.6
143,措备,2025-08-18,29.5,24.9,34.8,,1.1,65.1
143,措备,2025-08-19,30.8,26.9,34.7,,1.5,63.1
143,措备,2025-08-20,30.4,26.5,35.7,,1.5,64.8
143,措备,2025-08-21,30.1,26.5,35.5,,1.3,65.3
143,措备,2025-08-22,30,25.1,36.3,,1.3,67.9
143,措备,2025-08-23,30.8,25.4,37.2,,1.3,60
143,措备,2025-08-24,31,25.8,35.6,,.9,63.3
143,措备,2025-08-25,30.8,26.8,36.9,,1.6,65.6
143,措备,2025-08-26,28.9,26.2,34.3,0,2,65.8
143,措备,2025-08-27,28.3,23.4,35.6,,1.9,65.8
143,措备,2025-08-28,28.3,24,34.9,,1.7,66.5
143,措备,2025-08-29,30.6,25.6,36.3,,1.4,61.4
143,措备,2025-08-30,31,25.2,36.7,,1,55.5
143,措备,2025-08-31,27.8,25.1,33.8,2.9,1.1,75.5
143,措备,2025-09-01,27.9,24.6,32.5,11.7,1.3,76.4
143,措备,2025-09-02,27.4,24.8,31.4,0,1.4,72.8
143,措备,2025-09-03,27,23.2,32.2,,2.5,71.4
143,措备,2025-09-04,27.5,23.9,33,.4,2.4,73.3
143,措备,2025-09-05,27.4,23.3,33.6,12.6,1.5,71.6
143,措备,2025-09-06,28.4,23,34.1,0,1.5,70.3
143,措备,2025-09-07,26.7,24.7,29.1,5.5,1.6,81.6
143,措备,2025-09-08,23.5,19.1,27.9,8.1,1.4,71.6
143,措备,2025-09-09,19.6,18,21.6,61.8,.9,91.9
143,措备,2025-09-10,22.2,19.6,26.3,13.1,.9,85.6
143,措备,2025-09-11,23.2,18.2,28.2,,1.9,73.9
143,措备,2025-09-12,23.3,21.4,26.4,.5,1.9,82
143,措备,2025-09-13,25,22.1,31.6,10,2.4,82.4
143,措备,2025-09-14,24,20.6,28.7,1.7,1.8,78.4
143,措备,2025-09-15,25.9,22.1,29.7,0,.9,76.6
143,措备,2025-09-16,27.5,22.9,34,,1.1,74.9
143,措备,2025-09-17,25.8,23.4,33.4,6.6,1.3,80.6
143,措备,2025-09-18,21.9,19.9,23.8,,3.1,71.6
143,措备,2025-09-19,21.6,19.8,24.4,,2.7,67.5
143,措备,2025-09-20,21.7,18.7,27,8.9,2.1,78.4
143,措备,2025-09-21,20.5,17,25.6,,2.4,73.1
143,措备,2025-09-22,20,16,24.8,,2.3,70.3
143,措备,2025-09-23,21.2,16.9,25.9,0,2.5,65.8
143,措备,2025-09-24,23.9,20.6,27.9,,1.1,75.8
143,措备,2025-09-25,23.9,22.8,26.4,8.1,1,86.5
143,措备,2025-09-26,23,19.8,28.1,,1.5,68.5
143,措备,2025-09-27,22.9,18.9,27.5,,2.4,70.4
143,措备,2025-09-28,21.7,20.4,25,1.8,1.7,83.4
143,措备,2025-09-29,22,18.6,27.1,,2.3,65.5
143,措备,2025-09-30,20.6,15.8,26.4,,1.2,74.9
